input.text,annot1,annot2,annot3,Coded Labels,,,Binary Coded Labels,,,Voting and Final Labels
rofl you went through the supplementary data tables of the 1milllion individuals in few mins did you Not only are the correlations insanely strong but most of the genes codify for the nervous system it is undeniable,Implicit White Supremacism,Neutral,Implicit White Supremacism,1,0,1,1,0,1,1
This little one was born at 30 weeks days He was just as precious in the womb as outside of the womb It legal in states in the US to kill babies this age in utero New York Alaska Colorado Washington DC New Hampshire New Jersey New Mexico Oregon Vermont,Other hate Speech,Other hate Speech,Neutral,3,3,0,1,1,0,1
Feeling the spring ginghamandheels springtime sunshine primavera,Other hate Speech,Other hate Speech,Explicit White Supremacism,3,3,2,1,1,1,1
Someone is scared of military tribunals,Neutral,Other hate Speech,Explicit White Supremacism,0,3,2,0,1,1,1
Over the past 18 years we have imported million green card holders from the Middle East with no ability to vet them Islamists have terror networks on our shores using drugs and organized crime to pay for terror,Implicit White Supremacism,Explicit White Supremacism,Implicit White Supremacism,1,2,1,1,1,1,1
Lmao if you re dem and support this cabal of corrupt war mongers you lack empathy,Implicit White Supremacism,Explicit White Supremacism,Explicit White Supremacism,1,2,2,1,1,1,1
For one Mike Rowe has been trying to help the guys for years He has lots of job opportunities with lots of money and it would stop foreigners from coming to the USA But,Neutral,Implicit White Supremacism,Implicit White Supremacism,0,1,1,0,1,1,1
Woke WoC in the streets white man whore in the sheets,Implicit White Supremacism,Explicit White Supremacism,Neutral,1,2,0,1,1,0,1
And after hearing Greta made 46 Million in year and here we go in march in the books MotiveVillage,Implicit White Supremacism,Neutral,Neutral,1,0,0,1,0,0,0
Says the woman wh didn ever watch him play football,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
YouTube signed their own death warrant,Neutral,Neutral,Implicit White Supremacism,0,0,1,0,0,1,0
We acknowledge it when anybody listens to AssClowns like yourself,Implicit White Supremacism,Neutral,Neutral,1,0,0,1,0,0,0
What said and has been proven completely true is that Islamic populations when they increase in number will result in an increase in violence also said during Christchurch that whilst Muslims had been the victims Muslims are usually the perpetrators in terrorist attacks,Other hate Speech,Other hate Speech,Implicit White Supremacism,3,3,1,1,1,1,1
Mark Brahmin and discuss Midsommar 2019 Spoiler alert This film is not about Sweden,Implicit White Supremacism,Implicit White Supremacism,Other hate Speech,1,1,3,1,1,1,1
why do you come on streams and pretend you re reasonable human,Implicit White Supremacism,Neutral,Neutral,1,0,0,1,0,0,0
never experienced racism hatred until voted for Trump just an American Citizen supporting the President of the United States of America Im at 500k followers that threat to them since 2020 is close Thanks for using the hashtag ProtectTerrenceKWilliams,Implicit White Supremacism,Explicit White Supremacism,Explicit White Supremacism,1,2,2,1,1,1,1
Replies to post are real black pill So many celebrate the sentiment do not have kids Others focus on punishing the child Few see it for what it is an evil attempt to persuade whites and whites only to not have children Subliminal is the most powerful,Implicit White Supremacism,Explicit White Supremacism,Implicit White Supremacism,1,2,1,1,1,1,1
FB has restricted my access to my followers on my page After demonstrated support for the Bendigo Faithful who oppose Mosque being built no longer had the same engagement with my posts that used too,Explicit White Supremacism,Neutral,Explicit White Supremacism,2,0,2,1,0,1,1
Canada White Family Forced out of Public Housing after Death Threats from Feral Somalis via,Neutral,Implicit White Supremacism,Neutral,0,1,0,0,1,0,0
For those who like to question everything think outside the box Here is little question for you Have you ever heard of Do you know what the letters stand for,Neutral,Implicit White Supremacism,Neutral,0,1,0,0,1,0,0
Stephen Miller 1B visa bill won pass anytime soon enator Mike Lee with delegates from outsourcing industry,Implicit White Supremacism,Explicit White Supremacism,Implicit White Supremacism,1,2,1,1,1,1,1
Trump2020 you may not care about identity politics but identity politics cares about you Why conservatives ignore white hating politics Ilana Mercer thumps talking heads who refuse to recognize reality of today zeitgeist,Neutral,Explicit White Supremacism,Explicit White Supremacism,0,2,2,0,1,1,1
Here sign amp,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
An interesting way to think about changing demographics from From 2000 to 2018 109 counties in 22 states went from majority white to places with majority nonwhite population,Neutral,Implicit White Supremacism,Implicit White Supremacism,0,1,1,0,1,1,1
Who would ask God to ruin someone other than hard core mean hateful radical Sorry for what Israel has to put up with Her granddaughter passed up two chances to visit but she blames others,Implicit White Supremacism,Implicit White Supremacism,Implicit White Supremacism,1,1,1,1,1,1,1
Lies like this are used to generate hate violence toward White people Because of baseless hateful statements like these White people are attacked on daily basis White people are getting fed up with having hate violence thrust upon us Don cry when we fight back,Explicit White Supremacism,Other hate Speech,Explicit White Supremacism,2,3,2,1,1,1,1
E4T XPRESS 1572,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Atkinson said on at DOJ thru election and transition Guess who else he worked for Mary McCord the NSD chief who accompanied Sally Yates to meet with Don McGahn just days after Inauguration Day to warn the White House that Mike Flynn might have violated the Logan Act,Explicit White Supremacism,Explicit White Supremacism,Implicit White Supremacism,2,2,1,1,1,1,1
Day to celebrate all the wonderful Mothers who have blessed us with the miracle of life and time for families to come together remembering those close to our hearts Happy Mother Day,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
What about LA NYC Which he said were filthy making the police sick places are run by white dudes He blames Democrat liberal policies But you cry racism anyhow Sad,Implicit White Supremacism,Implicit White Supremacism,Explicit White Supremacism,1,1,2,1,1,1,1
agree have just blown up the head shot of him on the trolley original showed none of the usual giveaways that it has been photoshopped as well there are two injuries on his neck viable that may have been caused by whatever he used to hang himself with,Other hate Speech,Neutral,Other hate Speech,3,0,3,1,0,1,1
No you can not say it yet the movie has not come out bro,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Aboriginal will not fair well when other groups are the majority do you think the Chinese will be keen to keep handing them billions each year,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
MLK wanted us to judge him by the content of his character We need to,Explicit White Supremacism,Explicit White Supremacism,Explicit White Supremacism,2,2,2,1,1,1,1
Tell them to build levees It worked in The Netherlands Option Get China to build them an island sure they will do it for free as long as it has runway for when they invade Australia If this climate cr is all do Warringah should give Abbott his job back,Implicit White Supremacism,Explicit White Supremacism,Implicit White Supremacism,1,2,1,1,1,1,1
Jeez EU tanks will be driving down the streets of England to destroy all anti EU sentiment that is people who support Brexit and FBPE types will still be saying thank goodness we can still go to France without visa France being satellite of Africa or Asia,Explicit White Supremacism,Neutral,Neutral,2,0,0,1,0,0,0
Beto personal opinion about the guy life having value is negated by his policy position of abortion until birth,Implicit White Supremacism,Other hate Speech,Explicit White Supremacism,1,3,2,1,1,1,1
My list of things ll never do,Neutral,Other hate Speech,Neutral,0,3,0,0,1,0,0
Abstract art always has been nothing more than ploy to corrupt real art Because the world is jealous of White people and looking for someone to blame for all of their own failures,Implicit White Supremacism,Explicit White Supremacism,Neutral,1,2,0,1,1,0,1
China has called space America Achilles heel NASA administrator,Other hate Speech,Neutral,Other hate Speech,3,0,3,1,0,1,1
The death of capitalism will not come from communist revolution Rather it will die because all of the companies have contracted AIDS,Neutral,Implicit White Supremacism,Implicit White Supremacism,0,1,1,0,1,1,1
They re going to either shut down or start tweaking the results of their little Ngram app at some point,Neutral,Implicit White Supremacism,Neutral,0,1,0,0,1,0,0
Polish candidate puts kippah on rival says her party kneels to Jews This Capitol One commercial is selling more than just credit card Shitlibs in the UK are rampantly milkshaking libertarian anti racist activists while calling them nazis because the libertarians do not like islam because islam is mean to LGBT people and women,Explicit White Supremacism,Explicit White Supremacism,Neutral,2,2,0,1,1,0,1
Status patrolled,Neutral,Neutral,Implicit White Supremacism,0,0,1,0,0,1,0
Your refusal to waive your Fifth Amendment rights shall constitute evidence of your guilt LOL at these clowns,Explicit White Supremacism,Neutral,Explicit White Supremacism,2,0,2,1,0,1,1
Tonight we light Menorah the Hutt to honor For every tonight ll donate to mental health charity cc,Implicit White Supremacism,Neutral,Explicit White Supremacism,1,0,2,1,0,1,1
Any security video obtained cannot be released to public until after court trials have concluded in many cases,Neutral,Other hate Speech,Neutral,0,3,0,0,1,0,0
After enormous pressure from her voters Tulsi is now going to co sponsor an anti Israel bill She has my support again Wish we had pressured Trump like this in 2016,Explicit White Supremacism,Explicit White Supremacism,Explicit White Supremacism,2,2,2,1,1,1,1
racist,Explicit White Supremacism,Neutral,Neutral,2,0,0,1,0,0,0
not offended Sorry hard to tell through freaking Twitter,Implicit White Supremacism,Neutral,Neutral,1,0,0,1,0,0,0
What do the CIA Soros and Rothschilds NGOs the Media Russian Oligarchs the Democratic Party the EU and the UN all have in common They re all bunch of transnational elitists who think the majority of us are just swine and cattle to be managed Fuck Transnationalism,Other hate Speech,Neutral,Implicit White Supremacism,3,0,1,1,0,1,1
Ok well let look at the facts There were no slaves in the UK So how is it affecting black people in Britain,Implicit White Supremacism,Explicit White Supremacism,Neutral,1,2,0,1,1,0,1
Decades from now the Trump era will be remembered as the first confused inklings of the return of White consciousness Some might be curious as to how it was seen by historians but no one will be able to find one to ask,Neutral,Explicit White Supremacism,Neutral,0,2,0,0,1,0,0
Future French President Anti White Racism Spreading Through France via,Neutral,Neutral,Implicit White Supremacism,0,0,1,0,0,1,0
Why do you think nazi,Implicit White Supremacism,Implicit White Supremacism,Neutral,1,1,0,1,1,0,1
Anti Whites demonize White people by saying serial killing is an exclusively White phenomenon If only the masses realized literally everything pertaining to human beings IS about race Huh thought nullo was concept from Philip Dick sci fi short stories,Other hate Speech,Implicit White Supremacism,Explicit White Supremacism,3,1,2,1,1,1,1
